Nº	Nome	Gênero	Diretor	Ano Lançamento	Nota	titleId	rating_IMDB	Escritor	Ator/Atriz			
126	Mr. Bean: O Filme	Comédia	Mel Smith	1997	7.5	tt0118689	6.5	Robin Driscoll	Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed			
127	Star Wars, Episódio I: A Ameaça Fantasma	Aventura	George Lucas	1999	7.5	tt0120915	6.5	George Lucas	Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd			
128	A Bruxa de Blair	Horror	Daniel Myrick	1999	7.5	tt0185937	6.5	Daniel Myrick	Heather Donahue, Michael C. Williams, Joshua Leonard, Bob Griffin			
129	Cowboys do Espaço	Aventura	Clint Eastwood	2000	7.5	tt0186566	6.5	Howard Klausner	Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner			
130	Velozes e Furiosos	Ação	Justin Lin	2001	7.5	tt1013752	6.5	Gary Scott Thompson	Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster			
131	Doze Homens e Outro Segredo	Crime	Steven Soderbergh	2004	7.0	tt0349903	6.5	Jack Golden Russell	George Clooney, Brad Pitt, Julia Roberts, Catherine Zeta-Jones			
132	Sr. & Sra. Smith	Ação	Doug Liman	2005	7.5	tt0356910	6.5	Simon Kinberg	Brad Pitt, Angelina Jolie, Adam Brody, Vince Vaughn			
133	Uma Noite no Museu	Comédia	Shawn Levy	2006	7.5	tt0477347	6.5	Milan Trenc	Ben Stiller, Carla Gugino, Ricky Gervais, Dick Van Dyke			
134	A Lenda do Tesouro Perdido: Livro dos Segredos	Aventura	Jon Turteltaub	2007	6.5	tt0465234	6.5	Ted Elliott	Nicolas Cage, Diane Kruger, Justin Bartha, Jon Voight			
135	Agente 86	Comédia	Peter Segal	2008	7.5	tt0425061	6.5	Buck Henry	Steve Carell, Anne Hathaway, Alan Arkin, Dwayne Johnson			
136	Se Beber, Não Case! 2	Comédia	Todd Phillips	2011	7.0	tt1411697	6.5	Scott Moore	Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha			
137	It 2	Horror	Andy Muschietti	2019	5.0	tt7349950	6.5	Gary Dauberman	Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa			
138	Pânico	Horror	Wes Craven	1996	7.5	tt0117571	7.4	Kevin Williamson	Neve Campbell, Courteney Cox, David Arquette			
139	Medo e Delírio em Las Vegas	Drama	Terry Gilliam	1998	7.5	tt0120669	7.5	Alex Cox	Johnny Depp, Benicio Del Toro, Tobey Maguire, Michael Lee Gogin			
140	Harry Potter e o Prisioneiro de Azkaban	Aventura	Alfonso Cuarón	2004	7.5	tt0414084	7.9	J.K. Rowling	Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon			
141	Homem-Aranha 2	Ação	Sam Raimi	2004	7.5	tt0316654	7.5	Miles Millar	Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco			
142	Invocação do Mal	Horror	James Wan	2013	7.5	tt1457767	7.5	Carey W. Hayes	Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor			
143	Batman v Superman: Dawn of Justice	Aventura	Zack Snyder	2016	5.5	tt6130880	6.5	Bill Finger	Ben Affleck, Henry Cavill, Amy Adams			
144	Alien: Covenant	Thriller	Ridley Scott	2017	6.5	tt2316204	6.4	Ronald Shusett	Mike Stoklasa, Jay Bauman			
145	Gladiador	Ação	Ridley Scott	2000	8.5	tt0172495	8.5	William Nicholson	Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed			
146	O Pianista	Drama	Roman Polanski	2002	9.0	tt0253474	8.5	Wladyslaw Szpilman	Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox			
147	Parasita	Thriller	Boon Joon Ho	2019	9.0	tt6751668	8.5	Han Jin-won	Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik			
148	Esqueceram de Mim 3	Comédia	Raja Gosnell	1997	4.5	tt0119303	4.6	John Hughes	Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen			
149	Super-Herói: O Filme	Comédia	Craig Mazin	2008	8.0	tt0426592	4.6	Craig Mazin	Drake Bell, Leslie Nielsen, Sara Paxton, Christopher McDonald			
150	Scooby-Doo	Comédia	Raja Gosnell	2002	6.5	tt0267913	5.6	James Gunn	Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez			
151	A Creche do Papai	Comédia	Steve Carr	2003	6.5	tt0317303	5.6	Geoff Rodkey	Eddie Murphy, Jeff Garlin, Anjelica Huston, Steve Zahn			
152	Debi & Lóide 2	Comédia	Troy Miller	2003	5.0	tt0329028	3.4	Bennett Yellin	Derek Richardson, Eric Christian Olsen, Eugene Levy			
153	A Bruxa	Horror	Robert Eggers	2015	7.5	tt4263482	7.0	Robert Eggers	Anya Taylor-Joy, Ralph Ineson, Kate Dickie			
154	Eu, Eu Mesmo e Irene	Comédia	Farrellys	2000	7.0	tt0183505	6.6	Mike Cerrone	Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee			
155	Bater ou Correr	Comédia	Tom Dey	2000	6.5	tt0184894	6.6	Alfred Gough	Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill			
156	Star Wars II	Aventura	George Lucas	2002	7.5	tt0121765	6.6	George Lucas	Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee			
